"tempSet";"tempActual";"timestamp"
54.0;54.7217;10/26/17 4:02 AM
54.0;54.61;10/26/17 4:02 AM
54.0;54.48;10/26/17 4:02 AM
54.0;54.23;10/26/17 4:02 AM
54.0;53.9682;10/26/17 4:03 AM
54.0;53.567;10/26/17 4:03 AM
54.0;53.15;10/26/17 4:03 AM
54.0;52.844;10/26/17 4:03 AM
54.0;52.4418;10/26/17 4:04 AM
54.0;52.261;10/26/17 4:04 AM
54.0;52.107;10/26/17 4:04 AM
54.0;52.006;10/26/17 4:04 AM
54.0;52.063;10/26/17 4:05 AM
54.0;52.35;10/26/17 4:05 AM
54.0;52.667;10/26/17 4:05 AM
54.0;52.958;10/26/17 4:05 AM
54.0;53.24;10/26/17 4:06 AM
54.0;53.49;10/26/17 4:06 AM
54.0;53.74;10/26/17 4:06 AM
54.0;53.927;10/26/17 4:06 AM
54.0;54.07;10/26/17 4:07 AM
54.0;54.184;10/26/17 4:07 AM
54.0;54.31;10/26/17 4:07 AM
54.0;54.401;10/26/17 4:07 AM
54.0;54.5;10/26/17 4:08 AM
54.0;54.588;10/26/17 4:08 AM
54.0;54.61;10/26/17 4:08 AM
54.0;54.67;10/26/17 4:08 AM
54.0;54.72;10/26/17 4:09 AM
54.0;54.72;10/26/17 4:09 AM
54.0;54.643;10/26/17 4:09 AM
54.0;54.57;10/26/17 4:09 AM
54.0;54.467;10/26/17 4:10 AM
54.0;54.1227;10/26/17 4:10 AM
54.0;53.777;10/26/17 4:10 AM
54.0;53.376;10/26/17 4:10 AM
54.0;52.9745;10/26/17 4:11 AM
54.0;52.788;10/26/17 4:11 AM
54.0;52.612;10/26/17 4:11 AM
54.0;52.59;10/26/17 4:11 AM
54.0;52.5027;10/26/17 4:12 AM
54.0;52.6;10/26/17 4:12 AM
54.0;52.799;10/26/17 4:12 AM
54.0;53.06;10/26/17 4:12 AM
54.0;53.32;10/26/17 4:13 AM
54.0;53.66;10/26/17 4:13 AM
54.0;53.903;10/26/17 4:13 AM
54.0;54.09;10/26/17 4:13 AM
54.0;54.278;10/26/17 4:14 AM
54.0;54.42;10/26/17 4:14 AM
54.0;54.5;10/26/17 4:14 AM
54.0;54.588;10/26/17 4:14 AM
54.0;54.62;10/26/17 4:15 AM
54.0;54.72;10/26/17 4:15 AM
54.0;54.72;10/26/17 4:15 AM
54.0;54.792;10/26/17 4:15 AM
54.0;54.66;10/26/17 4:16 AM
54.0;54.61;10/26/17 4:16 AM
54.0;54.555;10/26/17 4:16 AM
54.0;54.2864;10/26/17 4:16 AM
54.0;53.926;10/26/17 4:17 AM
54.0;53.567;10/26/17 4:17 AM
54.0;53.1182;10/26/17 4:17 AM
54.0;52.766;10/26/17 4:17 AM
54.0;52.519;10/26/17 4:18 AM
54.0;52.217;10/26/17 4:18 AM
54.0;52.0264;10/26/17 4:18 AM
54.0;51.97;10/26/17 4:18 AM
54.0;52.129;10/26/17 4:19 AM
54.0;52.496;10/26/17 4:19 AM
54.0;52.777;10/26/17 4:19 AM
54.0;53.1082;10/26/17 4:19 AM
54.0;53.412;10/26/17 4:20 AM
54.0;53.644;10/26/17 4:20 AM
54.0;53.79;10/26/17 4:20 AM
54.0;53.973;10/26/17 4:20 AM
54.0;54.12;10/26/17 4:21 AM
54.0;54.268;10/26/17 4:21 AM
54.0;54.36;10/26/17 4:21 AM
54.0;54.412;10/26/17 4:21 AM
54.0;54.5;10/26/17 4:22 AM
54.0;54.555;10/26/17 4:22 AM
54.0;54.61;10/26/17 4:22 AM
54.0;54.61;10/26/17 4:22 AM
54.0;54.72;10/26/17 4:23 AM
54.0;54.72;10/26/17 4:23 AM
54.0;54.72;10/26/17 4:23 AM
54.0;54.68;10/26/17 4:23 AM
54.0;54.61;10/26/17 4:24 AM
54.0;54.489;10/26/17 4:24 AM
54.0;54.2764;10/26/17 4:24 AM
54.0;53.948;10/26/17 4:24 AM
54.0;53.5091;10/26/17 4:25 AM
54.0;53.128;10/26/17 4:25 AM
54.0;52.887;10/26/17 4:25 AM
54.0;52.7;10/26/17 4:25 AM
54.0;52.59;10/26/17 4:26 AM
54.0;52.47;10/26/17 4:26 AM
54.0;52.494;10/26/17 4:26 AM
54.0;52.678;10/26/17 4:26 AM
54.0;52.9645;10/26/17 4:27 AM
54.0;53.263;10/26/17 4:27 AM
54.0;53.567;10/26/17 4:27 AM
54.0;53.7909;10/26/17 4:27 AM
54.0;53.984;10/26/17 4:28 AM
54.0;54.1936;10/26/17 4:28 AM
54.0;54.335;10/26/17 4:28 AM
54.0;54.46;10/26/17 4:28 AM
54.0;54.61;10/26/17 4:29 AM
54.0;54.61;10/26/17 4:29 AM
54.0;54.72;10/26/17 4:29 AM
54.0;54.7309;10/26/17 4:29 AM
54.0;54.768;10/26/17 4:30 AM
54.0;54.676;10/26/17 4:30 AM
54.0;54.566;10/26/17 4:30 AM
54.0;54.41;10/26/17 4:30 AM
54.0;54.187;10/26/17 4:31 AM
54.0;53.8136;10/26/17 4:31 AM
54.0;53.331;10/26/17 4:31 AM
54.0;52.923;10/26/17 4:31 AM
54.0;52.6182;10/26/17 4:32 AM
54.0;52.316;10/26/17 4:32 AM
54.0;52.162;10/26/17 4:32 AM
54.0;51.866;10/26/17 4:32 AM
54.0;51.8;10/26/17 4:33 AM
54.0;51.9436;10/26/17 4:33 AM
54.0;52.173;10/26/17 4:33 AM
54.0;52.496;10/26/17 4:33 AM
54.0;52.855;10/26/17 4:34 AM
54.0;53.15;10/26/17 4:34 AM
54.0;53.3773;10/26/17 4:34 AM
54.0;53.6;10/26/17 4:34 AM
54.0;53.74;10/26/17 4:35 AM
54.0;53.892;10/26/17 4:35 AM
54.0;54.02;10/26/17 4:35 AM
54.0;54.138;10/26/17 4:35 AM
54.0;54.1709;10/26/17 4:36 AM
54.0;54.28;10/26/17 4:36 AM
54.0;54.335;10/26/17 4:36 AM
54.0;54.39;10/26/17 4:36 AM
54.0;54.48;10/26/17 4:37 AM
54.0;54.533;10/26/17 4:37 AM
54.0;54.61;10/26/17 4:37 AM
54.0;54.61;10/26/17 4:37 AM
54.0;54.654;10/26/17 4:38 AM
54.0;54.72;10/26/17 4:38 AM
54.0;54.72;10/26/17 4:38 AM
54.0;54.72;10/26/17 4:38 AM
54.0;54.676;10/26/17 4:39 AM
54.0;54.588;10/26/17 4:39 AM
54.0;54.434;10/26/17 4:39 AM
54.0;54.0291;10/26/17 4:39 AM
54.0;53.644;10/26/17 4:40 AM
54.0;53.2127;10/26/17 4:40 AM
54.0;52.855;10/26/17 4:40 AM
54.0;52.61;10/26/17 4:40 AM
54.0;52.47;10/26/17 4:41 AM
54.0;52.47;10/26/17 4:41 AM
54.0;52.47;10/26/17 4:41 AM
54.0;52.518;10/26/17 4:41 AM
54.0;52.722;10/26/17 4:42 AM
54.0;53.003;10/26/17 4:42 AM
54.0;53.3045;10/26/17 4:42 AM
54.0;53.567;10/26/17 4:42 AM
54.0;53.77;10/26/17 4:43 AM
54.0;53.973;10/26/17 4:43 AM
54.0;54.11;10/26/17 4:43 AM
54.0;54.256;10/26/17 4:43 AM
54.0;54.34;10/26/17 4:44 AM
54.0;54.412;10/26/17 4:44 AM
54.0;54.5;10/26/17 4:44 AM
54.0;54.533;10/26/17 4:44 AM
54.0;54.61;10/26/17 4:45 AM
54.0;54.61;10/26/17 4:45 AM
54.0;54.687;10/26/17 4:45 AM
54.0;54.72;10/26/17 4:45 AM
54.0;54.7418;10/26/17 4:46 AM
54.0;54.698;10/26/17 4:46 AM
54.0;54.58;10/26/17 4:46 AM
54.0;54.5;10/26/17 4:46 AM
54.0;54.298;10/26/17 4:47 AM
54.0;53.9582;10/26/17 4:47 AM
54.0;53.64;10/26/17 4:47 AM
54.0;53.07;10/26/17 4:47 AM
54.0;52.609;10/26/17 4:48 AM
54.0;52.15;10/26/17 4:48 AM
54.0;51.822;10/26/17 4:48 AM
54.0;51.4318;10/26/17 4:48 AM
54.0;51.128;10/26/17 4:49 AM
54.0;51.106;10/26/17 4:49 AM
54.0;51.29;10/26/17 4:49 AM
54.0;51.686;10/26/17 4:49 AM
54.0;52.072;10/26/17 4:50 AM
54.0;52.394;10/26/17 4:50 AM
54.0;52.75;10/26/17 4:50 AM
54.0;53.015;10/26/17 4:50 AM
54.0;53.251;10/26/17 4:51 AM
54.0;53.43;10/26/17 4:51 AM
54.0;53.567;10/26/17 4:51 AM
54.0;53.677;10/26/17 4:51 AM
54.0;53.79;10/26/17 4:52 AM
54.0;53.904;10/26/17 4:52 AM
54.0;53.97;10/26/17 4:52 AM
54.0;54.05;10/26/17 4:52 AM
54.0;54.094;10/26/17 4:53 AM
54.0;54.16;10/26/17 4:53 AM
54.0;54.196;10/26/17 4:53 AM
54.0;54.2691;10/26/17 4:53 AM
54.0;54.324;10/26/17 4:54 AM
54.0;54.39;10/26/17 4:54 AM
54.0;54.39;10/26/17 4:54 AM
54.0;54.49;10/26/17 4:54 AM
54.0;54.5;10/26/17 4:55 AM
54.0;54.54;10/26/17 4:55 AM
54.0;54.61;10/26/17 4:55 AM
54.0;54.665;10/26/17 4:55 AM
54.0;54.72;10/26/17 4:56 AM
